lat, lon, num
44.974673,-93.232221,0
44.975388,-93.233511,1
44.974519,-93.233541,2
44.973952,-93.233271,3
44.975448,-93.231472,4
44.975171,-93.232180,5
44.975921,-93.232411,6
44.976182,-93.231493,7
44.976272,-93.233103,8
44.977826,-93.233391,9
44.976822,-93.231121,10
44.976894,-93.234444,11
44.975442,-93.234546,12
44.974494,-93.234272,13
44.974514,-93.234741,14
44.974888,-93.235341,15
44.973947,-93.234444,16
44.975900,-93.234626,17
44.976511,-93.235436,18
44.975293,-93.236219,19
44.974530,-93.236268,20
44.973926,-93.236278,21
44.974109,-93.237201,22
44.975592,-93.237258,23
44.976814,-93.237065,24
44.973110,-93.237008,25
44.972962,-93.235398,26
44.977102,-93.232280,27
44.972811,-93.234245,28
44.973183,-93.233505,29
44.973054,-93.232464,30
44.972978,-93.231829,31
44.972276,-93.229565,32
44.970820,-93.228136,33
44.974245,-93.231123,34
44.973675,-93.231097,35
44.975793,-93.229878,36
44.973125,-93.239340,37
44.971888,-93.242247,38
44.970383,-93.244614,39
